row	seed	threads	draw	outcome	moves	states	time	passes
1262	1294935	4	1	2	0	19493	0.122897	-1
1263	1295772	4	1	2	0	4113	0.124671	-1
1264	1296609	4	1	2	0	24772	0.142739	-1
1265	1297446	4	1	0	111	1413072	3.55644	1
1266	1298283	4	1	2	0	5296	0.120685	-1
1267	1299120	4	1	2	0	13001	0.126115	-1
1268	1299957	4	1	2	0	78754	0.336183	-1
1269	1300794	4	1	2	0	3943	0.122905	-1
1270	1301631	4	1	2	0	62263	0.28897	-1
1271	1302468	4	1	2	0	155892	0.550044	-1
1272	1303305	4	1	2	0	33996	0.192294	-1
1273	1304142	4	1	2	0	4967	0.120214	-1
1274	1304979	4	1	2	0	277510	0.943967	-1
1275	1305816	4	1	2	0	426425	1.44419	-1
1276	1306653	4	1	2	0	39093	0.207786	-1
1277	1307490	4	1	2	0	5151	0.123179	-1
1278	1308327	4	1	2	0	10146	0.122138	-1
1279	1309164	4	1	2	0	13177	0.122379	-1
1280	1310001	4	1	2	0	683507	2.04611	-1
1281	1310838	4	1	2	0	75344	0.350643	-1
1282	1311675	4	1	2	0	585447	1.83874	-1
1283	1312512	4	1	2	0	295304	1.05812	-1
1284	1313349	4	1	2	0	560	0.122693	-1
1285	1314186	4	1	2	0	27731	0.16319	-1
1286	1315023	4	1	0	104	101535	0.355901	1
1287	1315860	4	1	2	0	5624	0.122891	-1
1288	1316697	4	1	2	0	3695	0.118745	-1
1289	1317534	4	1	0	112	477315	1.45759	1
1290	1318371	4	1	2	0	23248	0.146615	-1
1291	1319208	4	1	0	102	371225	1.25851	1
1292	1320045	4	1	0	108	624602	1.83901	1
1293	1320882	4	1	2	0	302506	1.0121	-1
1294	1321719	4	1	2	0	607595	1.92533	-1
1295	1322556	4	1	2	0	132578	0.544383	-1
1296	1323393	4	1	0	103	702168	2.48808	1
1297	1324230	4	1	0	101	82301	0.359917	1
1298	1325067	4	1	0	108	325247	1.05443	1
1299	1325904	4	1	0	107	154110	0.591157	1
1300	1326741	4	1	2	0	7845	0.123848	-1
1301	1327578	4	1	0	108	1298531	2.96794	1
1302	1328415	4	1	0	99	4558954	7.5118	1
1303	1329252	4	1	2	0	59563	0.277416	-1
1304	1330089	4	1	2	0	25200	0.15022	-1
1305	1330926	4	1	2	0	28838	0.174165	-1
1306	1331763	4	1	0	103	860865	2.24016	1
1307	1332600	4	1	2	0	463	0.119763	-1
1308	1333437	4	1	2	0	409	0.120174	-1
1309	1334274	4	1	0	108	452122	1.58699	1
1310	1335111	4	1	2	0	56818	0.268535	-1
1311	1335948	4	1	2	0	24187	0.148836	-1
1312	1336785	4	1	0	113	289142	0.966392	1
1313	1337622	4	1	2	0	39244	0.209362	-1
1314	1338459	4	1	2	0	771308	2.35513	-1
1315	1339296	4	1	2	0	9787	0.128564	-1
1316	1340133	4	1	2	0	20401	0.13274	-1
1317	1340970	4	1	2	0	225501	0.805939	-1
1318	1341807	4	1	2	0	182311	0.663925	-1
1319	1342644	4	1	2	0	9086	0.122353	-1
1320	1343481	4	1	0	108	2044574	5.13413	1
1321	1344318	4	1	2	0	617	0.118423	-1
1322	1345155	4	1	2	0	7825	0.125726	-1
1323	1345992	4	1	0	106	379374	1.18238	1
1324	1346829	4	1	0	106	66710	0.286709	1
1325	1347666	4	1	0	107	405576	1.15232	1
1326	1348503	4	1	2	0	36566	0.189229	-1
1327	1349340	4	1	2	0	150313	0.572709	-1
1328	1350177	4	1	2	0	26816	0.151155	-1
1329	1351014	4	1	2	0	240014	0.784501	-1
1330	1351851	4	1	2	0	8777	0.124204	-1
1331	1352688	4	1	2	0	3377	0.121691	-1
1332	1353525	4	1	2	0	318448	1.05848	-1
1333	1354362	4	1	2	0	1902	0.120459	-1
1334	1355199	4	1	0	96	920309	2.39882	1
1335	1356036	4	1	2	0	137351	0.534265	-1
1336	1356873	4	1	2	0	116805	0.452025	-1
1337	1357710	4	1	2	0	79866	0.292457	-1
1338	1358547	4	1	2	0	454381	1.46478	-1
1339	1359384	4	1	0	107	4244967	8.65866	1
1340	1360221	4	1	2	0	47440	0.248547	-1
1341	1361058	4	1	2	0	32472	0.177691	-1
1342	1361895	4	1	2	0	44560	0.21146	-1
1343	1362732	4	1	2	0	27377	0.163041	-1
1344	1363569	4	1	2	0	861950	2.58088	-1
1345	1364406	4	1	2	0	132	0.138728	-1
1346	1365243	4	1	2	0	20805	0.142494	-1
1347	1366080	4	1	2	0	2799	0.127779	-1
1348	1366917	4	1	2	0	177480	0.735516	-1
1349	1367754	4	1	2	0	7069	0.130447	-1
1350	1368591	4	1	2	0	10064	0.127377	-1
1351	1369428	4	1	2	0	12084	0.132165	-1
1352	1370265	4	1	2	0	23699	0.144872	-1
1353	1371102	4	1	2	0	108315	0.444023	-1
1354	1371939	4	1	0	97	168735	0.577526	1
1355	1372776	4	1	0	101	1845279	3.83048	1
1356	1373613	4	1	2	0	909976	3.03067	-1
1357	1374450	4	1	2	0	604250	1.91866	-1
1358	1375287	4	1	2	0	113981	0.455449	-1
1359	1376124	4	1	2	0	53867	0.224685	-1
1360	1376961	4	1	2	0	8215	0.120166	-1
1361	1377798	4	1	2	0	59171	0.247512	-1
1362	1378635	4	1	2	0	23774	0.141992	-1
1363	1379472	4	1	2	0	2725	0.118014	-1
1364	1380309	4	1	2	0	12697	0.122469	-1
1365	1381146	4	1	2	0	92942	0.364148	-1
1366	1381983	4	1	2	0	120366	0.4078	-1
1367	1382820	4	1	2	0	1737249	4.599	-1
1368	1383657	4	1	0	102	382943	1.14947	1
1369	1384494	4	1	0	108	17924	0.150913	1
1370	1385331	4	1	2	0	58408	0.309193	-1
1371	1386168	4	1	2	0	264776	1.39369	-1
1372	1387005	4	1	2	0	2017577	6.74811	-1
1373	1387842	4	1	2	0	499871	1.81837	-1
1374	1388679	4	1	2	0	3532	0.120725	-1
1375	1389516	4	1	0	106	263245	0.845712	1
1376	1390353	4	1	0	99	476698	1.63886	1
1377	1391190	4	1	2	0	19136	0.122842	-1
1378	1392027	4	1	0	103	926771	3.13932	1
1379	1392864	4	1	2	0	195183	1.00706	-1
1380	1393701	4	1	0	104	254925	1.17107	1
1381	1394538	4	1	2	0	76	0.129999	-1
1382	1395375	4	1	0	106	384850	1.85084	1
1383	1396212	4	1	0	103	549379	1.96155	1
1384	1397049	4	1	2	0	141	0.121812	-1
1385	1397886	4	1	0	93	687752	1.85455	1
1386	1398723	4	1	2	0	15007	0.124425	-1
1387	1399560	4	1	2	0	16718	0.126018	-1
1388	1400397	4	1	2	0	788935	2.14698	-1
1389	1401234	4	1	0	116	2859399	6.30079	1
1390	1402071	4	1	2	0	3548	0.122033	-1
1391	1402908	4	1	2	0	5445	0.123654	-1
1392	1403745	4	1	2	0	2858361	6.40155	-1
1393	1404582	4	1	0	104	601092	1.71891	1
1394	1405419	4	1	2	0	1382	0.120582	-1
1395	1406256	4	1	2	0	224105	0.70122	-1
1396	1407093	4	1	0	114	7199128	16.6228	1
1397	1407930	4	1	2	0	303985	1.9777	-1
1398	1408767	4	1	2	0	59889	0.374343	-1
1399	1409604	4	1	0	100	4139985	9.59014	1
1400	1410441	4	1	0	108	94877	0.37964	1
1401	1411278	4	1	2	0	78187	0.316508	-1
1402	1412115	4	1	2	0	106809	0.430274	-1
1403	1412952	4	1	2	0	412	0.118499	-1
1404	1413789	4	1	2	0	4139	0.121773	-1
1405	1414626	4	1	2	0	52951	0.222722	-1
1406	1415463	4	1	0	101	187554	0.669368	1
1407	1416300	4	1	2	0	2527	0.119417	-1
1408	1417137	4	1	0	105	2952334	6.08332	1
1409	1417974	4	1	2	0	23959	0.149248	-1
1410	1418811	4	1	2	0	27702	0.161232	-1
1411	1419648	4	1	2	0	185975	0.603585	-1
1412	1420485	4	1	0	118	1052698	3.13437	1
1413	1421322	4	1	0	110	357602	1.29539	1
1414	1422159	4	1	2	0	53255	0.230568	-1
1415	1422996	4	1	2	0	159134	0.561332	-1
1416	1423833	4	1	2	0	1910	0.119934	-1
1417	1424670	4	1	0	100	405684	1.29723	1
1418	1425507	4	1	2	0	14410	0.127431	-1
1419	1426344	4	1	0	100	1400998	3.50299	1
1420	1427181	4	1	0	106	319471	1.02057	1
1421	1428018	4	1	2	0	343669	1.21512	-1
1422	1428855	4	1	2	0	3170	0.122279	-1
1423	1429692	4	1	2	0	681	0.126137	-1
1424	1430529	4	1	2	0	20806	0.154259	-1
1425	1431366	4	1	2	0	77077	0.405684	-1
1426	1432203	4	1	0	102	1401740	4.43186	1
1427	1433040	4	1	2	0	5925	0.141213	-1
1428	1433877	4	1	2	0	110753	0.562215	-1
1429	1434714	4	1	0	105	834946	2.75865	1
1430	1435551	4	1	2	0	70422	0.308582	-1
1431	1436388	4	1	2	0	11738	0.131633	-1
1432	1437225	4	1	2	0	28587	0.160718	-1
1433	1438062	4	1	2	0	248345	0.862666	-1
1434	1438899	4	1	2	0	29721	0.177078	-1
1435	1439736	4	1	0	95	2106757	3.6676	1
1436	1440573	4	1	2	0	196887	0.87691	-1
1437	1441410	4	1	0	102	1012803	2.40364	1
1438	1442247	4	1	0	108	2933896	6.34131	1
1439	1443084	4	1	0	100	185500	0.685263	1
1440	1443921	4	1	2	0	147571	0.510436	-1
1441	1444758	4	1	0	100	79186	0.295159	1
1442	1445595	4	1	0	104	1454245	3.63819	1
1443	1446432	4	1	2	0	143	0.119792	-1
1444	1447269	4	1	2	0	14812	0.129637	-1
1445	1448106	4	1	2	0	1133	0.120473	-1
1446	1448943	4	1	0	101	166786	0.578186	1
1447	1449780	4	1	2	0	36740	0.183809	-1
1448	1450617	4	1	0	100	79773	0.287461	1
1449	1451454	4	1	2	0	110175	0.403808	-1
1450	1452291	4	1	2	0	70842	0.300598	-1
1451	1453128	4	1	2	0	4509	0.125584	-1
1452	1453965	4	1	2	0	32038	0.16782	-1
1453	1454802	4	1	2	0	883	0.120021	-1
1454	1455639	4	1	2	0	20409	0.126617	-1
1455	1456476	4	1	2	0	2726	0.118323	-1
1456	1457313	4	1	2	0	291209	1.08036	-1
1457	1458150	4	1	0	101	479581	1.4169	1
1458	1458987	4	1	2	0	679489	2.17483	-1
1459	1459824	4	1	0	108	2804383	6.34987	1
1460	1460661	4	1	2	0	25955	0.157448	-1
