row	seed	threads	draw	outcome	moves	passes	time	fringe	closed	mvtree
6732	6732	16	3	0	95	3	0.2885	677196	1787471	918104
6733	6733	16	3	0	99	4	0.05956	135359	314531	150864
6734	6734	16	3	2			0.0471	0	158748	94837
6735	6735	16	3	2			0.2779	0	1202666	733872
6736	6736	16	3	0	97	3	0.08904	222558	517435	229686
6737	6737	16	3	0	91	2	0.5752	1209510	3358707	1439433
6738	6738	16	3	0	106	4	0.05361	49782	242805	146449
6739	6739	16	3	0	126	6	0.08883	21207	379265	237773
6740	6740	16	3	0	92	3	0.1334	575176	986309	376931
6741	6741	16	3	0	100	3	0.06159	237001	424434	177231
6742	6742	16	3	0	99	4	0.67	1910722	4183338	1921567
6743	6743	16	3	0	95	2	1.9	4927947	11484875	5444025
6744	6744	16	3	0	96	3	0.09921	254990	594507	285168
6745	6745	16	3	0	109	4	0.1432	88825	669421	391908
6746	6746	16	3	0	103	2	0.05196	114176	258543	125182
6747	6747	16	3	0	105	4	0.1252	225562	729268	400102
6748	6748	16	3	0	109	5	0.2853	872632	1886957	882548
6749	6749	16	3	0	91	3	0.5997	1683652	3837702	1776484
6750	6750	16	3	2			0.9185	0	3773858	2227231
6751	6751	16	3	0	96	3	0.4018	1115981	2597155	1211637
6752	6752	16	3	0	86	2	0.5469	2960776	4814804	1751199
6753	6753	16	3	0	95	3	0.2074	704036	1489575	678946
6754	6754	16	3	2			0.04703	0	398	245
6755	6755	16	3	0	108	4	4.885	7265154	24194678	11854096
6756	6756	16	3	0	100	3	1.527	2969619	8641856	4364141
6757	6757	16	3	0	95	3	0.08014	105113	366220	190778
6758	6758	16	3	0	86	2	0.07143	376692	576076	193927
6759	6759	16	3	2			0.04695	0	1130	641
6760	6760	16	3	0	126	6	0.04709	39750	150705	82369
6761	6761	16	3	0	90	2	0.6905	2541373	4987590	2150559
6762	6762	16	3	0	95	3	0.0777	217466	495738	240576
6763	6763	16	3	0	87	2	0.6029	2844297	4975045	1924205
6764	6764	16	3	0	90	3	0.04733	4601	15663	8535
6765	6765	16	3	0	107	5	1.435	3405727	8687927	4126048
6766	6766	16	3	2			1.01	0	4112644	2575630
6767	6767	16	3	2			0.04705	0	120122	71128
6768	6768	16	3	0	97	2	0.4559	1927041	3639229	1701349
6769	6769	16	3	0	100	3	0.2624	512458	1532234	776481
