row	seed	threads	draw	outcome	moves	passes	time	fringe	advances	mvtree
28930	28930	16	3	0	98	3	0.09438	368414	265366	231466
28931	28931	16	3	0	95	3	0.3262	998363	1222816	1000709
28932	28932	16	3	0	101	3	0.9953	3114702	3877596	2996903
28933	28933	16	3	0	91	3	0.01916	20183	14601	14473
28934	28934	16	3	0	91	3	0.2604	1055254	903480	746490
28935	28935	16	3	0	97	3	0.06604	120694	179129	139589
28936	28936	16	3	0	108	4	0.112	186960	357911	259431
28937	28937	16	3	0	96	3	0.07925	149757	217216	186048
28938	28938	16	3	0	89	3	0.2349	889084	780575	644991
28939	28939	16	3	0	96	4	0.6538	919126	2639161	1599732
28940	28940	16	3	0	101	3	0.2199	314848	853284	575298
28941	28941	16	3	0	93	2	0.1328	426216	434211	371305
28942	28942	16	3	0	111	4	0.03284	29121	52154	42654
28943	28943	16	3	2			0.004035	0	14	7
28944	28944	16	3	0	97	4	0.2705	744650	991292	790584
28945	28945	16	3	0	97	3	0.2317	330670	875394	569679
28946	28946	16	3	0	93	3	1.44	3309835	5484880	3514811
28947	28947	16	3	2			0.02846	0	57607	33182
28948	28948	16	3	0	101	3	1.203	2214320	4620585	3416732
28949	28949	16	3	0	120	5	0.08443	90468	251465	175899
28950	28950	16	3	0	97	3	0.4246	954508	1628864	1153108
28951	28951	16	3	0	113	5	0.2088	148543	833137	526971
28952	28952	16	3	2			0.00505	0	1261	755
28953	28953	16	3	0	95	1	1.274	2363495	5146483	3385172
28954	28954	16	3	0	131	7	0.0404	22119	78941	65484
28955	28955	16	3	0	116	3	1.305	1184992	5446674	3702034
28956	28956	16	3	0	93	3	0.2049	545628	734557	554969
28957	28957	16	3	0	105	3	1.052	2363285	3921493	2817564
28958	28958	16	3	0	101	3	0.7892	1063815	3182206	2089959
28959	28959	16	3	2			0.00416	0	39	22
28960	28960	16	3	0	103	3	0.2436	262403	893899	609353
28961	28961	16	3	0	100	4	0.1862	569616	631378	536803
28962	28962	16	3	0	104	4	2.283	3117440	8701913	6163304
28963	28963	16	3	0	95	2	0.7068	1933445	2757086	1906629
28964	28964	16	3	0	96	3	0.2713	829007	920018	714566
28965	28965	16	3	0	79	2	0.03229	55415	34455	31920
28966	28966	16	3	0	95	3	0.06402	149745	154325	129677
28967	28967	16	3	0	96	2	0.06386	191681	156899	137432
28968	28968	16	3	0	94	4	0.06548	100067	175130	130361
